cross_section_norm,cross_section_denorm
0.8597124,4897.1553
0.48130977,3268.1594
0.15137672,1847.8215
-0.019398829,1112.6451
-0.10642829,737.9897
-0.16641471,479.75247
-0.23682868,176.62544
-0.27863705,-3.3566105
-0.2880532,-43.892498
-0.29633814,-79.55852
-0.30944675,-135.99004
-0.32349968,-196.48686
-0.33477604,-245.0308
-0.33448744,-243.78838
-0.32668105,-210.18242
-0.32498702,-202.88982
-0.33233446,-234.51994
-0.3415979,-274.39847
-0.33385432,-241.06291
-0.32515424,-203.60966
-0.31867534,-175.71843
-0.31290102,-150.8604
-0.30674237,-124.347946
-0.29915702,-91.69353
-0.29086852,-56.012127
-0.28173047,-16.673506
-0.2717355,26.354204
-0.2643509,58.144367
-0.24451536,143.53487
-0.22722007,217.98982
-0.7246189,-1923.2761
-0.6545516,-1621.6414
-0.5800477,-1300.9075
-0.5045318,-975.81696
-0.423707,-627.87225
-0.3462851,-294.57645
-0.2781611,-1.3076603
-0.28174806,-16.74919
-0.2882478,-44.730145
-0.29375508,-68.438644
-0.2988989,-90.58232
-0.30315885,-108.92107
-0.29273555,-64.04961
-0.28330284,-23.442427
-0.2657107,52.290363
-0.24572068,138.34602
-0.2258802,223.75783
-0.2026316,323.84146
-0.17571497,439.71555
-0.1452069,571.05054
-0.108780675,727.8628
-0.06714062,907.12024
-0.02435073,1091.3276
-0.0009053331,1192.2583
0.021160135,1287.2485
0.04668407,1397.1273
0.07460014,1517.3038
0.10277304,1638.5862
0.1290196,1751.5758
0.15289798,1854.3705
0.1764934,1955.947
0.19166772,2021.2714
0.20272057,2068.853
0.20832983,2093.0005
0.21829787,2135.912
0.22620308,2169.9436
-0.23855394,169.19832
-0.23725352,174.79652
-0.23592287,180.52486
-0.2317439,198.51503
-0.22676256,219.95937
-0.22178124,241.40358
-0.21679989,262.848
-0.21181855,284.29227
-0.20712747,304.48703
-0.20569088,310.67142
-0.20634916,307.83755
-0.20396328,318.1086
-0.20072603,332.0447
-0.19833198,342.35092
-0.19864435,341.0062
-0.20226493,325.4199
-0.20559715,311.07492
-0.20840058,299.00638
-0.21120405,286.93765
-0.21400754,274.8688
-0.21603882,266.1243
-0.21777439,258.6528
-0.22020063,248.20802
-0.22265103,237.6592
-0.22638696,221.57625
-0.23425099,187.72218
-0.2511457,114.991776
